41 jobs, 4 workers
[17:56:46] rmmain_DFL-Gossip_med_n60_s1__1 rc=0 (711s)
[17:56:54] rmmain_RECD_med_n60_s1__1 rc=0 (719s)
[17:57:12] rmmain_RECD_med_n60_s2__2 rc=0 (736s)
[17:58:00] rmmain_RECD_med_n60_s3__3 rc=0 (784s)
[18:08:51] rmmain_DFL-Gossip_med_n60_s2__2 rc=0 (724s)
[18:09:01] rmmain_LRU-Random_med_n60_s1__1 rc=0 (710s)
[18:09:50] rmmain_DFL-Gossip_med_n60_s3__3 rc=0 (775s)
[18:10:03] rmmain_LRU-Random_med_n60_s2__2 rc=0 (723s)
[18:21:00] rmmain_Mobility-Greedy_med_n60_s1__1 rc=0 (719s)
[18:21:56] rmmain_LRU-Random_med_n60_s3__3 rc=0 (785s)
[18:22:12] rmmain_Mobility-Greedy_med_n60_s2__2 rc=0 (743s)
[18:23:23] rmmain_Mobility-Greedy_med_n60_s3__3 rc=0 (800s)
[18:32:46] rmsweepR_RECD_med_n60_s1_100_1 rc=0 (706s)
[18:33:52] rmsweepR_RECD_med_n60_s1_150_1 rc=0 (716s)
[18:34:17] rmsweepR_RECD_med_n60_s1_300_1 rc=0 (724s)
[18:35:04] rmsweepR_DFL-Gossip_med_n60_s1_100_1 rc=0 (701s)
[18:44:33] rmsweepR_DFL-Gossip_med_n60_s1_150_1 rc=0 (707s)
[18:45:53] rmsweepR_DFL-Gossip_med_n60_s1_300_1 rc=0 (721s)
[18:46:01] rmsweepR_LRU-Random_med_n60_s1_100_1 rc=0 (704s)
[18:46:52] rmsweepR_LRU-Random_med_n60_s1_150_1 rc=0 (708s)
[18:56:41] rmsweepR_LRU-Random_med_n60_s1_300_1 rc=0 (728s)
[18:57:49] rmsweepR_Mobility-Greedy_med_n60_s1_100_1 rc=0 (715s)
[18:58:01] rmsweepR_Mobility-Greedy_med_n60_s1_150_1 rc=0 (719s)
[18:59:04] rmsweepR_Mobility-Greedy_med_n60_s1_300_1 rc=0 (732s)
[19:08:37] rmsweepC_RECD_med_n60_s1_2_1 rc=0 (716s)
[19:09:43] rmsweepC_RECD_med_n60_s1_6_1 rc=0 (715s)
[19:10:04] rmsweepC_RECD_med_n60_s1_8_1 rc=0 (723s)
[19:10:55] rmsweepC_LRU-Random_med_n60_s1_2_1 rc=0 (710s)
[19:20:31] rmsweepC_LRU-Random_med_n60_s1_6_1 rc=0 (715s)
[19:21:38] rmsweepC_LRU-Random_med_n60_s1_8_1 rc=0 (715s)
[19:22:06] rmsweepC_Mobility-Greedy_med_n60_s1_2_1 rc=0 (723s)
[19:22:59] rmsweepC_Mobility-Greedy_med_n60_s1_6_1 rc=0 (724s)
[19:32:33] rmsweepC_Mobility-Greedy_med_n60_s1_8_1 rc=0 (721s)
[19:33:38] rmsweepD_RECD_low_n60_s1__1 rc=0 (719s)
[19:34:09] rmsweepD_RECD_high_n60_s1__1 rc=0 (722s)
[19:34:52] rmsweepD_DFL-Gossip_low_n60_s1__1 rc=0 (713s)
[19:44:30] rmsweepD_DFL-Gossip_high_n60_s1__1 rc=0 (718s)
[19:45:31] rmsweepD_LRU-Random_low_n60_s1__1 rc=0 (714s)
[19:46:02] rmsweepD_LRU-Random_high_n60_s1__1 rc=0 (713s)
[19:46:44] rmsweepD_Mobility-Greedy_low_n60_s1__1 rc=0 (712s)
[19:53:31] rmsweepD_Mobility-Greedy_high_n60_s1__1 rc=0 (541s)
done: 41/41 succeeded
